,id,type,title,director,genres,overview,vote_average,vote_count
409,s5674,Movie,Small Soldiers,Joe Dante,"['Action & Adventure, Comedies, Sci-Fi & Fantasy']","When the Commando Elite, a group of toy action figures, are released before they've been tested, they attack the children playing with them.",6.2,511
410,s5683,Movie,Snow Day,Chris Koch,"['Children & Family Movies, Comedies']","When a snow day shuts down the whole town, the Wheeler family cuts loose. Hal makes a play for the most popular girl in his school, 10-year-old Natalie takes on the dreaded snowplow man, and Dad gets into a showdown with a rival meteorologist.",4.8,51
411,s5685,Movie,Snowpiercer,Bong Joon Ho,"['Action & Adventure, Cult Movies, International Movies']",The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.,6.7,2854
412,s5696,Movie,Soldier,Abbas Mustan,"['Comedies, Dramas, International Movies']","On the run from Indian police, a mysterious man escapes to Australia and falls in love with the daughter of an Indian criminal who lives there.",6.1,221
413,s5710,Movie,Something's Gotta Give,Nancy Meyers,"['Comedies, Romantic Movies']","Still sexy at 60, Harry Sanborn wines and dines women half his age. But a getaway with his girlfriend goes awry when her mother drops in unannounced.",6.3,410
414,s5728,Movie,Soul Surfer,Sean McNamara,"['Dramas, Faith & Spirituality, Sports Movies']",Hawaiian teen Bethany Hamilton bravely returns to competitive surfing after losing her left arm in a vicious shark attack.,6.9,342
415,s5733,Movie,Space Cowboys,Clint Eastwood,"['Action & Adventure, Dramas, Sci-Fi & Fantasy']",A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.,6.3,403
416,s5739,Movie,Sparkle,Sam O'Steen,"['Dramas, Music & Musicals']","In 1950s Harlem, three singing sisters hit the big time and end up losing one another in this musical melodrama inspired by the Supremes.",5.8,36
417,s5743,TV Show,Special,,['TV Comedies'],A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.,6.6,32
418,s5754,Movie,Spider-Man 3,Sam Raimi,"['Action & Adventure, Sci-Fi & Fantasy']",The seemingly invincible Spider-Man goes up against an all-new crop of villains in the third installment of the blockbuster adventure series.,5.9,3576
419,s5770,Movie,Spotlight,Tom McCarthy,"['Dramas, Independent Movies']",A team of reporters and editors at the Boston Globe relentlessly investigate a shocking child molestation cover-up by the Catholic Church.,7.8,2686
420,s5771,Movie,Spring Breakers,Harmony Korine,"['Comedies, Cult Movies, Dramas']","Four cash-strapped college women run afoul of the law — and fall in with a shady hustler — as they join the annual rite of bikinis, beer and debauchery.",5.0,1551
421,s5774,Movie,Spy Kids,Robert Rodriguez,"['Children & Family Movies, Comedies']",The tables are turned when pint-sized kids Carmen and Juni must rescue their secret-agent parents from the diabolical clutches of Alexander Minion.,5.5,867
422,s5775,Movie,Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez,"['Children & Family Movies, Comedies']","Spy kids Carmen and Juni Cortez team up with two other pint-size secret agents, Gary and Gerti Giggles, in order to take on an evil scientist.",5.3,521
423,s5777,Movie,Spy Kids: All the Time in the World,Robert Rodriguez,"['Children & Family Movies, Comedies']",Former Spy Kids Carmen and Juni return to help twin siblings Rebecca and Cecil Wilson save the world with their retired secret-agent stepmother.,4.4,222
424,s5786,TV Show,Star Trek,,"['Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy']","Led by unflappable Capt. Kirk, the crew of the starship Enterprise delves deep into the far reaches of space to explore new worlds and civilizations.",7.4,4518
425,s5795,Movie,Stardust,Matthew Vaughn,"['Action & Adventure, International Movies, Romantic Movies']","To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form.",7.1,1184
426,s5799,Movie,Starsky & Hutch,Todd Phillips,"['Action & Adventure, Comedies']",New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.,5.6,644
